x = 4979.73, y = 4.967635e-03
x = 4989.64, y = 4.966255e-03
x = 4999.55, y = 4.964866e-03
x = 5009.46, y = 4.963754e-03
x = 5019.37, y = 4.962659e-03
x = 5029.28, y = 4.961567e-03
x = 5039.19, y = 4.960481e-03
x = 5049.10, y = 4.959398e-03
x = 5059.01, y = 4.958319e-03
x = 5068.92, y = 4.957245e-03
x = 5078.83, y = 4.956174e-03
x = 5088.74, y = 4.955108e-03
x = 5098.65, y = 4.954046e-03
x = 5108.56, y = 4.952988e-03
x = 5118.47, y = 4.951935e-03
x = 5128.38, y = 4.950885e-03
x = 5138.29, y = 4.949840e-03
x = 5148.20, y = 4.948798e-03
x = 5158.11, y = 4.947761e-03
x = 5168.02, y = 4.946728e-03
x = 5177.93, y = 4.945700e-03
x = 5187.84, y = 4.944675e-03
x = 5197.75, y = 4.943655e-03
x = 5207.66, y = 4.942638e-03
x = 5217.57, y = 4.941626e-03
x = 5227.48, y = 4.940618e-03
x = 5237.39, y = 4.939614e-03
x = 5247.30, y = 4.938614e-03
x = 5257.21, y = 4.937619e-03
x = 5267.12, y = 4.936627e-03
x = 5277.03, y = 4.935640e-03
x = 5286.94, y = 4.934657e-03
x = 5296.85, y = 4.933678e-03
x = 5306.76, y = 4.932703e-03
x = 5316.67, y = 4.931733e-03
x = 5326.58, y = 4.930766e-03
x = 5336.49, y = 4.929804e-03
x = 5346.40, y = 4.928845e-03
x = 5356.31, y = 4.927891e-03
x = 5366.22, y = 4.926941e-03
x = 5376.13, y = 4.925996e-03
x = 5386.04, y = 4.925054e-03
x = 5395.95, y = 4.924117e-03
x = 5405.86, y = 4.923183e-03
x = 5415.77, y = 4.922254e-03
x = 5425.68, y = 4.921329e-03
x = 5435.59, y = 4.920408e-03
x = 5445.50, y = 4.919492e-03
x = 5455.41, y = 4.918579e-03
x = 5465.32, y = 4.917671e-03
x = 5475.23, y = 4.916767e-03
x = 5485.14, y = 4.915866e-03
x = 5495.05, y = 4.914971e-03
x = 5504.95, y = 4.914079e-03
x = 5514.86, y = 4.913191e-03
x = 5524.77, y = 4.912308e-03
x = 5534.68, y = 4.911428e-03
x = 5544.59, y = 4.910553e-03
x = 5554.50, y = 4.909682e-03
x = 5564.41, y = 4.908815e-03
x = 5574.32, y = 4.907953e-03
x = 5584.23, y = 4.907094e-03
x = 5594.14, y = 4.906240e-03
x = 5604.05, y = 4.905389e-03
x = 5613.96, y = 4.904543e-03
x = 5623.87, y = 4.903701e-03
x = 5633.78, y = 4.902863e-03
x = 5643.69, y = 4.902030e-03
x = 5653.60, y = 4.901200e-03
x = 5663.51, y = 4.900375e-03
x = 5673.42, y = 4.899554e-03
x = 5683.33, y = 4.898737e-03
x = 5693.24, y = 4.897924e-03
x = 5703.15, y = 4.897115e-03
x = 5713.06, y = 4.896311e-03
x = 5722.97, y = 4.895510e-03
x = 5732.88, y = 4.894714e-03
x = 5742.79, y = 4.893922e-03
x = 5752.70, y = 4.893134e-03
x = 5762.61, y = 4.892350e-03
x = 5772.52, y = 4.891570e-03
x = 5782.43, y = 4.890795e-03
x = 5792.34, y = 4.890023e-03
x = 5802.25, y = 4.889256e-03
x = 5812.16, y = 4.888493e-03
x = 5822.07, y = 4.887734e-03
x = 5831.98, y = 4.886979e-03
x = 5841.89, y = 4.886229e-03
x = 5851.80, y = 4.885482e-03
x = 5861.71, y = 4.884740e-03
x = 5871.62, y = 4.884002e-03
x = 5881.53, y = 4.883268e-03
x = 5891.44, y = 4.882538e-03
x = 5901.35, y = 4.881812e-03
