x = 6317.57, y = 2.408460e-03
x = 6327.48, y = 2.410685e-03
x = 6337.39, y = 2.414037e-03
x = 6347.30, y = 2.417401e-03
x = 6357.21, y = 2.420776e-03
x = 6367.12, y = 2.424163e-03
x = 6377.03, y = 2.427561e-03
x = 6386.94, y = 2.430970e-03
x = 6396.85, y = 2.434391e-03
x = 6406.76, y = 2.437824e-03
x = 6416.67, y = 2.441267e-03
x = 6426.58, y = 2.444722e-03
x = 6436.49, y = 2.448189e-03
x = 6446.40, y = 2.451667e-03
x = 6456.31, y = 2.455157e-03
x = 6466.22, y = 2.458657e-03
x = 6476.13, y = 2.462170e-03
x = 6486.04, y = 2.465693e-03
x = 6495.95, y = 2.469229e-03
x = 6505.86, y = 2.472775e-03
x = 6515.77, y = 2.475749e-03
x = 6525.68, y = 2.478272e-03
x = 6535.59, y = 2.480799e-03
x = 6545.50, y = 2.483330e-03
x = 6555.41, y = 2.485865e-03
x = 6565.32, y = 2.488404e-03
x = 6575.23, y = 2.490946e-03
x = 6585.14, y = 2.493493e-03
x = 6595.05, y = 2.496044e-03
x = 6604.95, y = 2.498599e-03
x = 6614.86, y = 2.501157e-03
x = 6624.77, y = 2.503720e-03
x = 6634.68, y = 2.506286e-03
x = 6644.59, y = 2.508857e-03
x = 6654.50, y = 2.511432e-03
x = 6664.41, y = 2.514010e-03
x = 6674.32, y = 2.516593e-03
x = 6684.23, y = 2.519179e-03
x = 6694.14, y = 2.521793e-03
x = 6704.05, y = 2.525271e-03
x = 6713.96, y = 2.528763e-03
x = 6723.87, y = 2.532268e-03
x = 6733.78, y = 2.535788e-03
x = 6743.69, y = 2.539321e-03
x = 6753.60, y = 2.542868e-03
x = 6763.51, y = 2.546429e-03
x = 6773.42, y = 2.550003e-03
x = 6783.33, y = 2.553592e-03
x = 6793.24, y = 2.557194e-03
x = 6803.15, y = 2.560810e-03
x = 6813.06, y = 2.564439e-03
x = 6822.97, y = 2.568083e-03
x = 6832.88, y = 2.571740e-03
x = 6842.79, y = 2.575411e-03
x = 6852.70, y = 2.579096e-03
x = 6862.61, y = 2.582795e-03
x = 6872.52, y = 2.586507e-03
x = 6882.43, y = 2.589899e-03
x = 6892.34, y = 2.592950e-03
x = 6902.25, y = 2.596003e-03
x = 6912.16, y = 2.599059e-03
x = 6922.07, y = 2.602116e-03
x = 6931.98, y = 2.605174e-03
x = 6941.89, y = 2.608235e-03
x = 6951.80, y = 2.611298e-03
x = 6961.71, y = 2.614362e-03
x = 6971.62, y = 2.617429e-03
x = 6981.53, y = 2.620497e-03
x = 6991.44, y = 2.623567e-03
x = 7001.35, y = 2.626639e-03
x = 7011.26, y = 2.629713e-03
x = 7021.17, y = 2.632788e-03
x = 7031.08, y = 2.635866e-03
x = 7040.99, y = 2.638945e-03
x = 7050.90, y = 2.642026e-03
x = 7060.81, y = 2.645110e-03
x = 7070.72, y = 2.648929e-03
x = 7080.63, y = 2.652760e-03
x = 7090.54, y = 2.656570e-03
x = 7100.45, y = 2.660359e-03
x = 7110.36, y = 2.664127e-03
x = 7120.27, y = 2.667874e-03
x = 7130.18, y = 2.671601e-03
